patent_id,inventor_count
10000003,1
10000005,1
10000007,5
10000010,4
10000011,1
10000018,3
10000020,4
10000024,6
10000035,6
10000039,3
10000051,2
10000052,4
10000068,1
10000097,5
10000104,2
10000110,2
10000126,3
10000132,2
10000133,2
10000134,1
10000140,3
10000159,5
10000160,2
10000166,2
10000176,2
10000192,2
10000197,1
10000202,4
10000203,1
10000204,3
10000213,1
10000215,3
10000222,1
10000224,1
10000238,1
10000262,1
10000268,4
10000275,2
10000285,2
10000287,2
10000298,6
10000309,2
10000321,2
10000329,2
10000338,1
10000339,3
10000352,1
10000358,4
10000364,1
10000373,2
10000380,1
10000384,2
10000389,4
10000391,1
10000392,2
10000394,2
10000399,1
10000402,2
10000404,2
10000411,1
10000417,4
10000419,4
10000424,4
10000430,3
10000438,2
10000442,3
10000443,2
10000446,3
10000447,6
10000450,7
10000453,2
10000454,7
10000459,3
10000462,2
10000463,2
10000466,2
10000468,7
10000480,8
10000482,4
10000484,6
10000491,2
10000495,4
10000500,5
10000502,1
10000509,1
10000513,1
10000516,8
10000519,3
10000520,7
10000523,1
10000528,1
10000535,8
10000537,1
10000539,5
10000548,2
10000550,4
10000551,5
10000561,10
10000565,2
10000566,2
10000567,4
10000569,3
10000571,4
10000573,5
10000574,6
10000575,4
10000576,2
10000577,3
10000580,2
10000590,1
10000591,2
10000595,2
10000606,2
10000612,6
10000641,3
10000645,7
10000658,2
10000659,1
10000662,3
10000665,1
10000666,3
10000674,5
10000680,2
10000683,2
10000692,2
10000695,5
10000724,3
10000726,1
10000730,2
10000732,2
10000747,4
10000749,2
10000751,3
10000759,3
10000768,2
10000769,2
10000771,1
10000788,1
10000790,3
10000791,1
10000805,5
10000808,2
10000809,3
10000815,5
10000817,3
10000820,1
10000832,1
10000834,4
10000839,1
10000851,4
10000881,3
10000899,2
10000918,1
10000940,1
10000956,2
10000968,3
10000977,6
10000983,1
10000986,1
10000988,1
10000990,2
10000991,2
10000993,2
10001002,2
10001006,2
10001012,5
10001020,5
10001028,2
10001032,1
10001055,1
10001065,1
10001073,1
10001081,3
10001082,2
10001085,3
10001089,2
10001090,2
10001091,6
10001121,3
10001125,3
10001135,1
10001139,2
10001148,1
10001152,1
10001161,1
10001164,2
10001172,3
10001176,3
10001186,3
10001187,2
10001191,3
10001211,2
10001241,1
10001243,1
10001251,1
10001257,1
10001259,2
10001261,1
10001269,4
10001274,1
10001278,3
10001279,3
10001284,1
10001335,3
10001338,4
10001342,2
10001365,2
10001373,1
10001376,2
10001384,2
10001386,4
10001398,1
10001404,2
10001415,4
10001422,4
10001433,2
10001434,4
10001444,7
10001445,1
10001448,6
10001450,5
10001451,2
10001455,2
10001468,2
10001472,1
10001473,2
10001475,2
10001477,3
10001478,4
10001487,1
10001491,1
10001497,1
10001501,3
10001511,3
10001515,1
10001531,5
10001543,3
10001547,2
10001549,1
10001552,5
10001565,2
10001574,2
10001578,2
10001582,1
10001598,3
10001600,2
10001608,3
10001612,3
10001613,2
10001614,3
10001616,1
10001619,2
10001630,3
10001631,4
10001640,1
10001643,1
10001654,2
10001656,2
10001658,2
10001667,2
10001689,2
10001699,1
10001706,1
10001713,5
10001714,1
10001734,1
10001748,3
10001751,3
10001776,1
10001784,1
10001790,3
10001791,4
10001795,4
10001797,3
10001799,6
10001801,6
10001804,4
10001812,5
10001817,10
10001818,2
10001820,1
10001822,2
10001839,3
10001840,2
10001841,1
10001843,1
10001845,4
10001856,2
10001864,3
10001866,3
10001869,3
10001874,3
10001878,2
10001886,1
10001905,3
10001906,2
10001907,5
10001913,6
10001915,1
10001917,5
10001928,1
10001931,1
10001940,4
10001949,3
10001950,4
10001953,3
10001959,1
10001966,2
10001969,2
10001973,2
10001976,3
10001978,2
10001981,2
10001983,3
10001984,4
10001986,2
10001994,1
10001995,2
10001996,3
10002001,2
10002003,1
10002005,1
10002006,2
10002018,3
10002022,2
10002024,3
10002033,3
10002034,4
10002038,4
10002039,1
10002041,5
10002042,4
10002043,3
10002048,3
10002051,3
10002057,3
10002061,4
10002063,2
10002073,4
10002077,3
10002078,3
10002079,3
10002081,2
10002082,2
10002085,2
10002086,4
10002089,3
10002091,1
10002096,1
10002098,1
10002102,6
10002103,7
10002108,4
10002112,2
10002116,1
10002119,1
10002120,3
10002125,2
10002128,2
10002132,3
10002137,3
10002140,5
10002142,3
10002148,6
10002159,1
10002163,2
10002165,2
10002166,2
10002168,2
10002172,3
10002178,1
10002180,2
10002184,1
10002185,1
10002187,1
10002195,2
10002196,2
10002197,2
10002198,2
10002201,3
10002215,9
10002218,3
10002223,1
10002229,1
10002231,2
10002236,4
10002242,2
10002244,2
10002253,3
10002270,2
10002280,2
10002283,3
10002286,1
10002291,4
10002292,4
10002296,3
10002300,3
10002306,1
10002307,2
10002310,5
10002311,4
10002325,2
10002326,1
10002329,3
10002336,2
10002343,2
10002344,4
10002349,3
10002350,2
10002351,6
10002354,2
10002358,2
10002364,6
10002366,1
10002369,3
10002372,2
10002374,4
10002384,2
10002387,5
10002395,4
10002403,3
10002407,2
10002415,4
10002416,4
10002424,2
10002426,2
10002430,1
10002431,2
10002443,2
10002449,3
10002451,2
10002453,3
10002466,1
10002467,2
10002475,4
10002478,4
10002494,2
10002496,2
10002505,2
10002522,1
10002523,4
10002524,3
10002525,2
10002526,4
10002528,1
10002536,3
10002537,5
10002540,1
10002544,3
10002577,3
10002586,6
